der Herr;le monsieur
der Mann;l'homme
Frau;madame
die Frau;la femme
die Dame;la dame
die Frau;la mademoiselle
das Kind;l'enfant
der Junge;le garcon
das Mädchen;la fille
nenne;appeler
heissen;s'appeler
der Name;le nom
der Familienname;le nom de famille
verheiratet;marié/mariée
verwitwet;veuf/veuve
getrennt;séparé/séparée
kommen aus;venir de
die Adresse;l'adresse
die Strasse;la rue
die Hausnummer;le numéro de la maison
die Person;la personne
das Baby;le bébé
volljährig;majeur/majeure
minderjähring;mineur/mineure
der Wohnort;le domicile
die Staatsangehörigkeit;la nationalité
der Familienstand;l'état civil
ledig;célibataire
geschieden;divorcé/divorcée
das Geschlecht;le sexe
der Spitzname;le surnom
lieb;brave
nett;gentil/gentille
gut;bon/bonne
freundlich;aimable
artig;sage
der Charme;le charme
charmant;charmant/charmante
die Vernunft;la raison
vernünftig;raisonnable
sympathisch;sympathique
ruhig;calme
still;tranquille
komisch;comique
der Mut;le courage
mutig;courageux/courageuse
die Dummheit;la bêtise
dumm;bête
böse;méchant/méchante
feige;lâche
die Persönlichkeit;la personnalité
der Charakter;la caractère
ehrgeizig;ambitieux/ambitieuse
fleissig;appliqué/appliquée
faul;paresseux/paresseuse
h�öflich;poli/polie
unsympathisch;antipathique
grob;rude
ehrlich;honnête
aurichtig;sincère
Geduld;la patience
geduldig;patient/patiente
ungeduldig;impatient/impatiente
grosszügig;généreux/généreuse
fröhlich;joyeux/joyeuse
fröhlich;gai/gaie
lustig;drôle
der Humor;l'humour
die Laune;l'humeur
die Neugier;la curiosité
neugierig;curieux/curieuse
vorsichtig;prudent/prudente
unversichtig;impurdent/impurdente
die Leidenschaft;la passion
empfindlich;sensible
nervös;nerveux/nerveuse
schüchtern;timide
bescheiden;modeste
schlau;malin
verrückt;fou/fol/folle
der Stolz;la fierté
stolz;fier/fière
das Gesicht;le visage
das Gesicht;la figure
das Haar;les cheveux
ähneln;ressembler à
sich ähnlich sein;se ressembler
hübsch;joli/jolie
die Schönheit;la beauté
schön;beau/bel/belle/beaux
attraktiv;attirant/attirante
ässlich;laid/laide
hässlich;moche
gross;grand/grande
klein;petit/petite
dick;gros/grosse
dünn;maigre
schlank;mince
blass;pâle
die Frisur;la coiffure
sich frisieren;se coiffer
blond;blond/blonde
grauhaarig;aux cheveux gris
schwarzhaarig;aux cheveux noirs
rothaarig;roux/rousse
hell;clair/claire
dunke�l;foncé/foncée
aussehen;avoir l'air
der Gesichtsausdruck;la mine
gut aussehen;avoir bonne mine
schlecht aussehen;avoir mauvaise mine
süss;mignon/mignonne
zunehmen;grossir
abnehmen;maigrir
die Glatze;la tête chauve
gepflegt;soigné/soignée
ungepflegt;mal soigné/mal soignée
der Bart;la barbe
die Gesichstfarbe;le teint
die Kleidung;les vêtements
die Mode;la mode
sich anziehen;s'habiller
anziehen;mettre
ausziehen;enlever
sich ausziehen;se déshabiller
tragen;porter
anprobieren;essayer
sich umziehen;se changer
stehen;aller
zusammenpassen;aller ensemble
der Mantel;le manteau
die Jacke;le veste
die Hose;le pantalon
die Jeans;le jean
das T-Shirt;le tee-shirt
der Pullover;le pull-over
das Kleid;la robe
der Rock;la jupe
die Shorts;le short
das Hemd;la chemise
die Bluse;le chemisier
der Anzug;le costume
der Strumpf;le bas
die SOcke;la chaussette
der Schuh;la chaussure
die Schugrösse;la pointure
die Kleidergr�össe;la taille
der Schlafanzug;le pyjama
das Nachthemd;la chemise de nuit
der Slip;le slip
die Unterhose;la culotte
die Boxershorts;le calecon
der Badeanzug;le maillot de bain
die bdehose;le slip de bain
der Bikini;le bikini
eng;étroit/étroite
weit;large
das Sakko;le veston
die Regenjacke;l'imperméable
der BBH;le soutien-gorge
das Unterhemd;la chemisette
die Strumpfhose;le collant
der Turnschuh;le tennis
der Stiefel;la botte
die Sandale;la sandale
die Flipflopy;les tongs
altmodisch;démodé/démodée
modisch;à la mode
der Krage;le col
der �ärmel;la manche
der Knopf;le bouton
der Reissverschluss;la fermeture éclair
das Muster;le motif
einfarbig;uni/unie
gestreift;rayé/rayée
kariert;à carreaux
nackt;nu/nue
angezogen;habillé/habillée
die Tasche;la poche
die Tasche;le sac
die handtasche;le sac à main
das Portemonnaie;le portemonnaie
der Hut;le chapeau
die Mütze;le bonnet
der Handschuh;le gant
der Ring;la bague
die Uhr;la montre
die Brille;les lunettes
die Sonnennbrille;les lunettes de soleil
die Halskette;le collier
das Armband;le bracelet
die Brieftasche;le portefuille
der Schal;l'écharpe
der Gürtel;la ceinture
der Schmuck;les bijoux
der Modeschmuck;les bijoux fantaisie
der Ohrring;la boucle d'oreille
das Kopftuch;le foulard
die Kontaktlinse;les lentilles de contact
die Haarspange;la barrette
die Familie;la famille
die Grossfamili;la grande famille
die Eltern;les parents
der Vater;le père
der Papa;le papa
die Mutter;la mère
die Mama;le maman
unhöflich;impoli/impolie
geizig;avare
dunkelhaarig;brun/brune
lang;long/longue
leidenschaftlich;passionné/passionnée
familiär;familial/familiale/familiaux
eine gute Figure haben;être bien fait/être bien faite
elegant;élégant/élégante
mal élevé/mal él�evée;ernst
sérieux/sérieuse;der Regenschirm
la parapluie;le prénom
die Ehrlichkeit;l'honnêteté
