die Familie;la famille
familiär;familial/familiale/familiaux
die Grossfamilie;la grande famille
die Eltern;les parents
der Papa;le papa
die Mutter;la mère
die Mama;la maman
der Sohn;le fils
die Tochter;la fille
der Bruder;le frère
die Schwester;la soeur
die Geschwister;les frères et soeurs
die Kinder;les enfants
der Onkel;l'oncle
die Tante;la tante
der Cousin/die Cousine;le cousin/la cousine
die Grosseltern;les grands-parents
der Grossvater;le grand-père
die Grossmutter;la grand-mère
der Opa;le papi
die Oma;la mamie
zusammenleben;vivre ensemble
sich kümmern um;s'occuper de
der Neffe;le neveu
die Nichte;la nièce
der Enkel/die Enkelin;le petit-fils/la petite-fille
die Schwiegereltern;les beaux-parents
die Schwiegermutter;la belle-mère
der Schwager;le beau-frère
die Schwägerin;la belle-soeur
der Schwiegersohn;le gendre
die Schwiegertochter;la belle-fille
der Verwandte/die Verwandte;le parent/la parente
verwnadt;parent/parente
grossziehen;élever
der Zwilling;le jumeau
der Zwilling (f);la jumelle
der Vorfahr;l'ancêtre
das Adoptivkind;l'enfant adoptif
adoptieren;adopter
die Liebe;l'amour
lieben;aimer
sich lieben;s'aimer
der Hass;la haine
hassen;haïr
verliebt;amoureux/amoureuse
sich verlieben;tomber amoureux/tomber amoureuse
der Kuss;le baiser
küssen;embrasser
sich küssen;s'embrasser
umarmen;prendre dans ses bras
die Hochzeit;le mariage
heiraten;se marier
der Ehemann;le mari
die Ehefrau;la femme
das Ehepaar;le ménage
treu;fidèle
untreu;infidèle
verlobt;fiancé/fiancée
die Trennung;la séparation
sich trennen;se séparer
der Bräutigam;le marié
das Paar;le couple
eifersüchtig;jaloux/jalouse
sex haben;faire l'amour
der sex;le sexe
zärtlich;tendre
homosexuell;homosexuel/homosexuelle
lesbisch;lesbien/lesbienne
der feste Freund;le petit ami
die feste Freundin;la petite amie
der Partner/die Partnerin;le/la partenaire
die eingetragene Lebenspartnerschaft;le PACS
eine eingetragene Partnerschaft eingehen;se pacser
die Beziehung;la relation
die Ehe ohne Trauschein;l'union libre
die Scheidung;le divorce
sich scheiden lassen;divorcer
der Alleinerziehende/die Alleinerziehende;le parent isolé
die Familie mit einem Elternteil;la famille monoparentale
der Lebensgefährte/die Lebensgefährtin;le compagnon/la compagne
die Freundschaft;l'amitié
der Freund/die Freundin;l'ami/l'amie
freundschaftlich;amical/amicale/amicaux
persönlich;personnel/personnelle
die Leute;les gens
gemeinsam;commun/commune
das Mitglied;le membre
der Nachbar/die Nachbarin;le voisin/la voisine
der Typ;le type
die Begegnung;la rencontre
treffen;rencontre
die Versammlung;la réunion
die Verabredung;le rendez-vous
sich verabreden;prendre rendez-vous
teilnehmen;participer
der Gast;l'invité/l'invitée
einladen;inviter
besuchen;aller voir
vorbeikommen;passer
der Bekannte;la connaissance
der Kontakt;le contact
Kontakt aufnahmen mit jmd;contacter qn
der Freundeskreis;le groupe d'amis
befreundet sein mit;être ami avec/être amie avec
sich treffen;se réunir
sich anschliessen;joindre
der Klub;le club
der Verein;l'association
begleiten;accompagner
sich verstehen;s'entendre
die Hand geben;serrer la main
etw gern tun;aimer bien faire qc
mögen;aimer bien
die Einstellung;l'attitude
Gemeinschafts-;collectif/collective
das Umfeld;le milieu
unter Leuten sein;voir du monde
der Mensch;l'homme
das Leben;la vie
labend;vivant/vivante
leben;vivre
die Geburt;la naissance
geboren werden;naître/naitre
die Kindheit;l'enfance
die Jugend;la jeunesse
jung;jeune
der Erwachsene;l'adulte
erwachsen;adulte
das Alter;la vieillesse
alt;vieux/vieil/vieille
das LAter;l'âge
alt;âgé/âgée
Jahre alt sein;avoir ans
wachsen;grandir
der Tod;la mort
tot;mort/morte
tödlich;mortel/mortelle
sterben;mourir
ums Leben kommen;trouver la mort
das Grab;la tombe
die Beerdigung;l'enterrement
beerdigen;enterrer
der Witwer/die Witwe;le veuf/la veuve
die Generation;la génération
menschlich;humain/humaine
die Schwangerschaft;la grossesse
schwanger;enceinte
die Seniorinnen und Senioren;les personnes du troisième âge
die Pubertät;la puberté
die Midlife-Crisis;le démon de midi
das Beileid;les condoléances
der Leichnam;le corps
einäschern;incinérer
die Trauer;le deuil
erben;hériter
das Testament;le testament
der Freund/die Freundin;le copain/la copine
der Vater;le père
der Schwiegervater;le beau-père
die Verlobung;les fiançailles
