der Gedanke;la pensée
denken an;penser à
halten von;penser de
nachdenken;réfléchir
die Erinnerung;le souvenir
erinnern;rappeler
sich erinnern an;se rappeler
vergessen;oublier
scheinen;sembler
glauben;croire
die Hoffnung;l'espoir
hoffen;espérer
vermuten;supposer
wahrscheinlich;probable
wahrscheinlich (pas de adj);probablement
vielleicht;peut-être
möglich;possible
unmöglich;impossible
sich fragen;se demander
der Sinn;le sens
der Eindruck;l'impression
bedenken;prendre en considération
rechnen mit;s'attendre à
(wieder)erkennen;reconnaître/reconnaitre
bemerken;remarquer
der Anschein;l'apparence
scheinen;paraître/paraitre
halten für;considérer comme
die Fantasie;l'imagination
sich vorstellen;imaginer
berücksichtigen;tenir compte de
das Bewusstsein;la conscience
vorhersehen;prévoir
der Unsinn;le non-sens
das Gefühl;le sentiment
die Freude;la joie
das Vergnügen;le plaisir
angenehm;agréable
unangenehm;désagréable
das Glück;le bonheur
glücklich;heureux/heureuse
unglücklich;malheureux/malheureuse
leider;malheureusement
seltsam;étrange
das Lachen;le rire
lachen;rire
das Lächeln;le sourire
lächeln;sourire
mögen;aimer
gern etw tun;aimer faire qc
sehr gerne haben;adorer
Lieblings-;préféré/préférée
die �Überaschung;la surprise
überraschen;surprendre
zufrieden;content/contente
die Angst;la peur
erschrecken;faire peur à
beunruhigt;inquiet/inquiète
die Traurigkeit;la tristesse
traurig;triste
einsam;seul/seule
schrecklich;terrible
der Zweifel;le doute
zweifellos;sans aucun doute
weinen;pleurer
die Träne;la larme
furchtbar;affreux/affreuse
besorgt;soucieux/soucieuse
sich Sorgen machen;s'inquiéter
unzufrieden;mécontent/mécontente
nicht leiden können;détester
sich freuen;se réjouir
die Bewunderung;l'admiration
bewundern;admirer
die Begeisterung;l'enthousiasme
begeistert;enthousiaste
aufgeregt;excité/excitée
aufregend;excitant/excitante
aggressiv;agressif/agressive
die Langeweile;l'ennui
langweilig;ennuyeux/ennuyeuse
sich langweilen;s'ennuyer
die Enttäuschung;la déception
enttäuschen;décevoir
dankbar;reconnaissant/reconnaissante
erstaunlich;étonnant/étonnante
erstaunen;étonner
das Mitleid;la pitié
bedauern;regretter
merkwürdig;bizarre
die Scham;la honte
sich schämen;avoir honte
bezweiflen;douter
das Heimweh;le mal du pays
rühren;toucher
jdm fehlen;manquer à qn
beneiden;envier
der Kummer;le chagrin
das Schicksal;le sort
sehen;voir
der Blick;le regard
ansehen;regarder
hören;entendre
zuhören;écouter
das Geräusch;le bruit
berühren;toucher
der Geruch;l'odeur
der Duft;le parfum
stinken;puer
der Sinn;le sens
das Gefühl;la sensation
fühlen;sentir
einen Blick werfen auf;jeter un coup d'oeil sur
empfinden;éprouver
beobachten;observer
das Sehvermögen;la vue
das Gehör;l'ouïe
der Tatsinn;le sens du toucher
der Geruchssinn;l'odorat
der schmackssinn;le sens du goût
das Gespr�äch;la conversation
sprechen;parler
sagen;dire
erzählen;raconter
erfahren;apprendre
rufen;appeler
die Ruhe;le silence
erklären;expliquer
der Ausdruck;l'expression
ausdrücken;exprimer
still;silencieux/silencieuse
die Rede;le discours
die Erkl$rung;l'explication
die Nachricht;la nouvelle
die Nachricht v2;le message
mitteilen;faire savoir
Bescheid sagen;prévenir
die Mitteilung;l'information
benachritigen;informer
die Bemerkung;la remarque
erwähnen;mentionner
betonen;souligner
sich unterhalten;s'entretenir
plaudern;bavarder
schweigen;se taire
flüstern;chuchoter
der Klatsch;les ragots
bitten;demander
jdm fragen;demander à qn
die Frage;la question
die Antwort;la réponse
antworten;répondre
eine Frage beantworten;répondre à une question
ja;oui
doch;si
nein;non
nicht;ne pas
Wie bitte?;Pardon?
Bitte!;S'il vous plaît!
Bitte!;Voilà!
Bitte sehr!;De rien!
Danke!;Merci!
Danke Sschön!;Merci beaucoup!
wollen;vouloir
wünschen;souhaiter
versprechen;promettre
die Entschuldigung;l'excuse
entschuldigen;excuser
danken;remercier
die Bitte;la demande
der Wunsch;le souhait
realisierbar;réalisable
verwirklichen;réaliser
das Versprechen;la promesse
sich entschuldigen;s'excuser
verzeihen;pardonner
Verzeihung!;Excusez-moi!
Tut mir leid!;Désolé!
der Befehl;l'ordre
erlauben;permettre
Gestatten Sie?;vous permettez?
dürfen;pouvoir
verbieten;interdire
die Erlaubnis;la permission
die Genehmigung;l'autorisation
das Verbot;l'interdiction
befehlen;ordonner
beauftragen;charger
darauf bestehen;insister
gehorchen;obéir
gewähren;accorder
verlangen;exiger
zwingen;obliger
hindern an;empêcher de
verzichten auf;renoncer à
der Ekel;le dégoût
der Wille;la volonté
verzweifelt;désespéré/désespérée
