die Berwerbung;la candidature
sich bewerben;poser sa candidature
der/die Kandidat/in;le candidat/la candidate
der Geheimtipp;le tuyau/les tuyaux
das Bewerbungsschreiben;la lettre de motivation
der/die Arbeitgeber/in;l'employeur/l'employeuse
das Vorstellungsgespräch;l'entretien d'embauche
de Allee;l'avenue
die Koordinaten, die Kontaktdaten;les coordonnées
der/die Europäer/in;l'Européen/l'Européenne
der Betreff;l'objet
die Anfrage;la demande
in der neuten Klasse;en classe de troisième
zurzeit;actuellement
besonders;particulièrement
die Rezeption;la réception
dick auftragen;en rajouter
gerade etw getan haben;venir de
der Service;le service
die Weinlese;les vendanges
bereichernd;enrichissant/enrichissante
die Kenntnisse;les connaissances
die Fremdsprache;la langue étrangère
die Prüfung;l'examen
das Niveau;le niveau
spanisch;l'espagnol
motiviert;motivé/motivée
etw unterschreiben;signer qc
der Anhang;la pièce jointe
das Dokument;le document
das Passfoto;la photo d'identité
lächeln;sourire
das wirkt;ça fait
Elsässich;l'alsacien
die Hilfe;l'aide
am Apparat;à l'appereil
die Unterlagen;le dossier
der Chef;le patron/la patronne
nach jdm fragen;demander à parler à qn
der Augenblick;l'instant
Ich stelle Sie zu ihm/ihr durch;Je vous le/la passe
das Glück habe etw zu tun;avoir la chance de
fähig sein etw zu tun;être capable de
flexibel;flexible
hätte, wäre, könnte;avec des si et des mais
jdm begegnen;croiser qn
süss;doux/douce
tief im Inneren von jdm/tief in etw;au fond de qn/qc
der Sitz;le siège
die Stimme;la voix
das Unwetter;la tempête
der Rettungsring;la bouée
etw/jdm gegenüber;face à qn/qc
der Scheinwerfer;le projecteur
das Kompliment;le compliment
der Blumenregen;le jet de fleurs
eingerostet;rouillé/rouillée
die Routine;la routine
jdm passieren;arriver à qn
die Fabrik;l'usine
niedergesunken;affalé/affalée
das Sofa;le canapé
jdn anschnauzen;engueuler qn
der Mond;la lune
jdn/etw festhalten;tenir qn/qc
jdm Gesellschaft leisten;tenir compagnie à qn
deprimiert sein;déprimer
so;tellement
der Typ;le type
die Alle;l'allée
ganz;entier/entière
das Bier;la bière
fahren;rouler
das Stück;le bout
das Glas;le verre
der Reifen;le pneu
platzen;crever
das Wunder;la merveille
steckengeblieben;coincé/coincée
dabei sein;étre en train de
welcher/welche/welches;lequel/laquelle/lesquels/lesquelles
