Faith hat seine Bewerbung an mehrere Unternehmen geschickt.;Faith a envoyé sa candidature à plusieurs entreprises
Kannst du mir mit dem Bewerben helfen?;Tu peux m'aider à poser ma candidature
Ich denke dieser Kandidat wird die Million gewinnen;Je pense que ce candidat va gagner le million
Mein Lehrer hat einen Geheimtipp zum Repetieren gegeben;Mon prof m'a donné des tuyaux pour bien réviser
Ich wohne in der Colmar Allee;J'habite avenue de Colmar
Was ist der Betreff des Mails?;Quel est l'object du mail
Nora bereitet ihre Anfrage fürs Praktikum vor;Nora prépare sa demande de stage
In der neunten Klasse muss man ein Praktikum machen;En classe de troisième, il faut faire un stage
Wenn er Geschichten erzähltt, trägt er immer dick auf;Quand il raconte des histoires, il en rajoute toujours
Klara ist gerade eben gegangen;Klara vient de partir
Ich bin gerade die Küche am aufrräumen;Je suis en train de ranger la cuisine
Anna, das ist die Freunden mitwelcher ich in einer Gruppe spiele;Anna, c'est la copine avec laquelle je joue dans un groupe
Was ist dein Niveau im Englisch?;Quel est ton niveau en anglais
Michi liebt den Spanischkurs;Mici adore le cours d'espagnol
Sophie ist wirklich motiviert für ihr Praktikum;Sophie est vraiment motivée pour se stage
Ich habe dir die Fotos im Anhang geschickt;Je t'envoie les photos en pièce jointe
Ich werde dir das Dokument per mail schicken;Je vais t'envoyer le document par mail
Ich mag Passfotos nicht;Je n'aime pas les photos d'identité
Bitte lächelt für das Photo;Souriez pour la photo, s'il vous plaît
Sprichst du Elsässisch;Tu parles alsacien
Hello es ist Tim am Apparat;Bonjour, c'est Tim à l'appareil
Könntest du mir das Dossier schicken;Purrait-tu m'envoyer le dossier
Ich presentiere euch den Chef Leckan;Je vous présente le patron, Leckan
Wenn du ins Bureau kommst, frage nach dem Chef;Quand vous passez au bureau, demandez à parler au patron
Sie hat die Möglichkeit ins Ausland zu gehen;Elle a la chance de partir à l'étranger
Anna ist sehr stark, sie ist fähig alles zu tun;Anna est trop forte, elle est capable de tout faire
Hätte , wäre, könnte, man könnt Paris in eine Flasche stecken;Avec des si et des mais, on mettrait Paris en bouteille
Das ist sehr süss;C'est très doux
Empfindest du etwas für mich?;Que ressens-tu pour moi
Tief im innern bin ich sehr schüchtern;Au fond de moi, je suis très timide
Wie viele Sitze hat es im Bus;Il y a combien de sièges dans le bus
Es hat Rettungsringe auf dem Boot;Il y a des bouées sur le bateau
Gegenüber meinem Bruder bin ich sehr nett;Face à mon frère, je suis très gentil
Auf der Bühne hat es Scheinwerfer;Sur scène, il y a des projecteurs
übertreibe nicht mit den Komplimenten;N'exagère pas avec tes compliments
Auf der Bühne hat es Blumenregen;Sur scène, il y a des jets de fleurs
Mein Vélo ist eingerostet;Mon vélo est rouillé
Am Morgen hat jeder Routinen;Le matin, tout le monde a des routines
Passiert es dir dass du unter der Dusche singst;Cela t'arrive de chanter sous la douche
Timo arbeitet in einer Fabrik;Timo travaille dans une usine
Mein Vater ist in seinem Stuhl niedergesunken;Mon père est affalé sur sa chaise
Est hat ein grosses Sofa im Salon;Il y a un grand canapé dans le salon
Manchmal schnautze ich meinen Bruder an;Parfois, j'engueule mon frère
Laura ist deprimiert, ihr geht es schrecklich;Laura déprime, elle est malheureuse
Ich habe so hunger;J'ai tellement faim
Wer ist der Typ da drüben;Qui est ce type là-bas
Ich wohne in der Nähe einer Allee;J'habite près d'une allée
Er hat die ganze Packung aufgegessen;Il a mangé le paquet entier
Ich mag das Bier nicht;Je n'aime pas la bière
Jean fährt ein Auto, Jeams ein Velo;Jean roule en voiture, Jeams à vélo
Ein Glas Wasser bitte;Un verre d'eau, s'il vous plaît
Der Pneu meines Fahrrads ist geplatzt;Le pneu de mon vélo est crevé
Die Europäer sprechen unterschiedliche Sprachen;Les Européens parlent des langues différentes
Wo ist die Rezeption;Ou est la réception
Hast du schonmal bei einer Weinlese mitgemacht;Tu as déjè participé aux vendanges
Ich dekoriere den Tisch. Das wirkt schöner;Je décore la table. ça fait plus jolie
Könntent Sie mir das dossier schicken;Pourriez-vous m'envoyer le dossier
Ich  will mit Gian sprechen => Ich stelle Sie zu ihm durch;Je voudrais parler à Gian => Je vous le passe
Die Katze ist im Schrank steckengeblieben;Le chat est coinc���é dans l'armoire
Kennst du die sieben Weltwunder;Tu connais les sept merveilles du monde
