Sie hat ihre Sportkarriere beendet;Elle a arrêté sa carrière de sportive
Macht eine Zusammenfassung über die Legende;Faites un résumé de la légende
Ich habe Kopfschmerzen;J'ai mal à la tête
Ich trainire um Muskeln zu haben;Je m'entraîne pour avoir des muscles
Kennst du das Verlangen nach Süssem nach dem Essen;Tu connais l'envie de sucre après le repas
M. Lunet ist eine engagierter Schulleiter;M. Lunet est un principal engagé
Sophie interissiert sich für die Philosophie;Sophie s'intéresse à la philosophie
Hast du ans Kursemachen gedacht;Tu as pensé à faire les courses
Ich trage kein Kostüm im Alltag;Dans la vie quotidienne, je ne porte pas de costume
Wie ist die Operation gelaufen;Comment s'est passé l'opération
Die orangen riechen gut;Les oranges sentent bon
Eine Zitrone hat viel Vitamin C;Un citron a beaucoup de vitamine C
Es hat viel Einsamkeit unter Schülern;Il y a beaucoup de la solidarité entre les élèves
Der Rassismus ist ein immer aktuelles Problem;Le racisme est un problème toujours actuel
Das ist kein Commic, es ist ein Manga;Ceci n'est pas une BD, c'est un manga
Mein Freund hat mir ein Gemälde gemalt;Mon copain m'a peint un tableau
Cédric will Marion heiraten;Cédric veut épouser Marion
Ich habe gestern Hanna kennengelernt;Hier, j'ai fait la connaissance de Hanna
Die Nazis waren Deutsche Rassisten;Les nazis étaient racistes allemands
Er ist müde. Deshalb schläft er;Il est fatigué. C'est pourquoi il dort
Am Abend schreibe ich mein Tagebuch;Le soir, j'écris mon journal
Ist es obligatorisch oder nicht;C'est obligatoire ou pas
Mein Vater hat neue Möbel gekauft;Mon père a acheté des nouveaux meubles
Wie ist Ihr Werdegang;Quel est votre parcours
Die Flasche ist leer;La bouteille est vide
Vor der Probe bin ich in Panik geraten;Avant l'examen, j'ai paniqué
Diese Melodie ist hübsch;Cette mélodie est jolie
Ich verstehe den Liedtext nicht;Je ne comprends pas les paroles
Ich spiele dir mein lieblingslied vor;Je te passe ma chanson préférée
Zum Schluss zeige ich euch einen Film;Pour finir, je vous montre un film
Nach der Präsentation kann jeder seine Meinung sagen;Après la présentation, tout le monde peut donner son avis
Danke für eure Aufmerksamkeit;Merci de votre attention
Wer ist dran => Marion ist dran;C'est à qui => C'est à Marion
Oscar mag den Reggae nicht;Oscar n'aime pas le reggae
Diser Sänger ist gut drauf;Ce chanteur a la patate
Es sind bald Ferien => Übrigens geht ihr weit weg;C'est bientôt les vacances => à propos, vous partez loin
Das Leben eines illegalen Einwanders ist nicht einfach;La vie d'un sans-papiers n'est pas facile
Du hast dein altes Fahrrad ersetzt;Tu as remplacé ton vieux vélo
Mère Teresa war eine bekannte Nonne;Mère Teresa était une religieuse célèbre
in Museen kann man viele Gemälde anschauen.;En musée, on peut regarder plein de tableaux
In Frankreich gibt es keinen Reiligonsunterricht an der Schule;En France, il n'y a pas de courses de religion à l'école
